api_name,http_method,endpoint,path_params,query_params,request_body,data_models,required_optional,response,http_status,authentication,error_format
Health,GET,/health,—,—,—,—,—,"{ service: string, status: string }",200,None,"{ error: string }"
Create lesson,POST,/api/v1/content/lessons,—,—,"{ name: string, description: string }","CreateLessonRequest; Lesson { id, name, description, createdAt, updatedAt }","name: required (<=120); description: required (<=1000)","{ lesson: Lesson }",201 | 400 | 500,None,"{ error: string }"
List lessons,GET,/api/v1/content/lessons,—,—,—,"LessonSummary { id, name, description, createdAt, updatedAt, vocabularyCount, questionCount }",—,"{ lessons: LessonSummary[] }",200 | 500,None,"{ error: string }"
Get lesson,GET,/api/v1/content/lessons/{lessonId},lessonId: uuid,—,—,"LessonDetail + Vocabulary[] + PublicQuestion[] (no correctOptionIndex)",lessonId: required,"{ lesson: LessonDetail }",200 | 404 | 500,None,"{ error: string }"
Update lesson,PATCH,/api/v1/content/lessons/{lessonId},lessonId: uuid,—,"{ name: string, description: string }",CreateLessonRequest; Lesson,"lessonId: required; name/description: required","{ lesson: Lesson }",200 | 400 | 404 | 500,None,"{ error: string }"
Delete lesson,DELETE,/api/v1/content/lessons/{lessonId},lessonId: uuid,—,—,—,lessonId: required,(empty),204 | 404 | 500,None,"{ error: string }"
Add vocabularies,POST,/api/v1/content/lessons/{lessonId}/vocabularies,lessonId: uuid,—,"{ items: [{ word, meaning }] }",AddVocabulariesRequest; Vocabulary,"lessonId+items required; word/meaning required","{ vocabulary: Vocabulary[], count }",201 | 400 | 404 | 409 | 500,None,"{ error: string }"
List vocabularies,GET,/api/v1/content/lessons/{lessonId}/vocabularies,lessonId: uuid,—,—,VocabulariesResponse,lessonId: required,"{ vocabulary, count }",200 | 404 | 500,None,"{ error: string }"
Create question,POST,/api/v1/content/lessons/{lessonId}/questions,lessonId: uuid,—,"{ prompt, options[4], correctOptionIndex, vocabularyId? }",CreateQuestionRequest; Question,"prompt/options/correctOptionIndex: required; vocabularyId: optional","{ question: Question }",201 | 400 | 404 | 500,None,"{ error: string }"
List questions (public),GET,/api/v1/content/lessons/{lessonId}/questions,lessonId: uuid,—,—,PublicQuestion (no correctOptionIndex),lessonId: required,"{ questions, count }",200 | 404 | 500,None,"{ error: string }"
List questions (managed),GET,/api/v1/content/lessons/{lessonId}/questions/managed,lessonId: uuid,—,—,Question (includes correctOptionIndex),lessonId: required,"{ questions, count }",200 | 404 | 500,None,"{ error: string }"
Get question (managed),GET,/api/v1/content/questions/{questionId},questionId: uuid,—,—,Question (includes correctOptionIndex),questionId: required,"{ question: Question }",200 | 404 | 500,None,"{ error: string }"
Update question,PATCH,/api/v1/content/questions/{questionId},questionId: uuid,—,"{ prompt, options[4], correctOptionIndex, vocabularyId? }",CreateQuestionRequest; Question,"questionId+prompt/options/correctOptionIndex: required","{ question: Question }",200 | 400 | 404 | 500,None,"{ error: string }"
Delete question,DELETE,/api/v1/content/questions/{questionId},questionId: uuid,—,—,—,questionId: required,(empty),204 | 404 | 500,None,"{ error: string }"
Check answer,POST,/api/v1/content/questions/{questionId}/check,questionId: uuid,—,"{ selectedOptionIndex: int }",CheckAnswerRequest; CheckAnswerResponse,"questionId+selectedOptionIndex: required","{ correct, vocabularyId, masteryCandidateVocabularyId }",200 | 400 | 404 | 500,None,"{ error: string }"
