api_name,service,http_method,endpoint,path_params,query_params,request_body,data_models,required_optional,response,http_status,authentication,error_format
List lessons,content-service,GET,/api/v1/content/lessons,—,—,—,LessonSummary,—,"{ lessons }",200 | 500 | 503,None (via Gateway),"{ error: string }"
Get lesson,content-service,GET,/api/v1/content/lessons/{lessonId},lessonId: uuid,—,—,LessonDetail; PublicQuestion,lessonId: required,"{ lesson }",200 | 404 | 500 | 503,None (via Gateway),"{ error: string }"
Check MCQ answer,content-service,POST,/api/v1/content/questions/{questionId}/check,questionId: uuid,—,"{ selectedOptionIndex }",CheckAnswerResponse,"questionId+selectedOptionIndex: required","{ correct, vocabularyId, masteryCandidateVocabularyId }",200 | 400 | 404 | 500 | 503,None (via Gateway),"{ error: string }"
Create lesson,content-service,POST,/api/v1/content/lessons,—,—,"{ name, description }",Lesson,"name+description: required","{ lesson }",201 | 400 | 500 | 503,None (via Gateway),"{ error: string }"
Update lesson,content-service,PATCH,/api/v1/content/lessons/{lessonId},lessonId: uuid,—,"{ name, description }",Lesson,"lessonId+name+description: required","{ lesson }",200 | 400 | 404 | 500 | 503,None (via Gateway),"{ error: string }"
Delete lesson,content-service,DELETE,/api/v1/content/lessons/{lessonId},lessonId: uuid,—,—,—,lessonId: required,(empty),204 | 404 | 500 | 503,None (via Gateway),"{ error: string }"
Add vocabularies,content-service,POST,/api/v1/content/lessons/{lessonId}/vocabularies,lessonId: uuid,—,"{ items: [{ word, meaning }] }",Vocabulary,"lessonId+items: required","{ vocabulary, count }",201 | 400 | 404 | 409 | 500 | 503,None (via Gateway),"{ error: string }"
List vocabularies,content-service,GET,/api/v1/content/lessons/{lessonId}/vocabularies,lessonId: uuid,—,—,Vocabulary,lessonId: required,"{ vocabulary, count }",200 | 404 | 500 | 503,None (via Gateway),"{ error: string }"
List managed questions,content-service,GET,/api/v1/content/lessons/{lessonId}/questions/managed,lessonId: uuid,—,—,Question (with correctOptionIndex),lessonId: required,"{ questions, count }",200 | 404 | 500 | 503,None (via Gateway),"{ error: string }"
Create question,content-service,POST,/api/v1/content/lessons/{lessonId}/questions,lessonId: uuid,—,"{ prompt, options[4], correctOptionIndex, vocabularyId? }",Question,"prompt/options/correctOptionIndex: required","{ question }",201 | 400 | 404 | 500 | 503,None (via Gateway),"{ error: string }"
Update question,content-service,PATCH,/api/v1/content/questions/{questionId},questionId: uuid,—,"{ prompt, options[4], correctOptionIndex, vocabularyId? }",Question,"questionId+prompt/options/correctOptionIndex: required","{ question }",200 | 400 | 404 | 500 | 503,None (via Gateway),"{ error: string }"
Delete question,content-service,DELETE,/api/v1/content/questions/{questionId},questionId: uuid,—,—,—,questionId: required,(empty),204 | 404 | 500 | 503,None (via Gateway),"{ error: string }"
Create conversation,ai-service,POST,/api/v1/ai/conversations,—,—,"{ title?: string | null }",ConversationResponse,"title: optional; x-user-id: required","{ id, user_id, title, created_at, updated_at }",201 | 401 | 500 | 503,Header x-user-id: required (account id string),"{ detail: string | { code, message } } | { error: string }"
Send chat message,ai-service,POST,/api/v1/ai/conversations/{conversation_id}/messages,conversation_id: uuid,—,"{ content: string }",ChatResponse; MessageResponse,"conversation_id+content: required; x-user-id: required","{ user_message, assistant_message, provider, model, … }",201 | 401 | 404 | 500 | 503,Header x-user-id: required (account id string),"{ detail: string | { code, message } } | { error: string }"
Delete conversation,ai-service,DELETE,/api/v1/ai/conversations/{conversation_id},conversation_id: uuid,—,—,—,"conversation_id+x-user-id: required",(empty),204 | 401 | 404 | 500 | 503,Header x-user-id: required (account id string),"{ detail: string | { code, message } } | { error: string }"
